Model,AUC,Threshold,Net_Benefit
Random Forest Optimized,0.8442008879023308,0.9400000000000001,0.005291005291005291
Random Forest Optimized,0.8442008879023308,0.9500000000000001,0.005291005291005291
Random Forest Optimized,0.8442008879023308,0.9600000000000001,0.005291005291005291
Random Forest Optimized,0.8442008879023308,0.97,0.005291005291005291
Random Forest Optimized,0.8442008879023308,0.98,0.0
Random Forest,0.8423973362930077,0.01,0.273422051199829
Random Forest,0.8423973362930077,0.02,0.2669258179462261
Random Forest,0.8423973362930077,0.03,0.260950199094529
Random Forest,0.8423973362930077,0.04,0.25573192239858905
Random Forest,0.8423973362930077,0.05,0.2500696184906711
Random Forest,0.8423973362930077,0.060000000000000005,0.24169762467634806
Random Forest,0.8423973362930077,0.06999999999999999,0.2365022472549354
Random Forest,0.8423973362930077,0.08,0.23234414538762363
Random Forest,0.8423973362930077,0.09,0.2275132275132275
Random Forest,0.8423973362930077,0.09999999999999999,0.2192827748383304
Random Forest,0.8423973362930077,0.11,0.2149099340110576
Random Forest,0.8423973362930077,0.12,0.21284271284271283
Random Forest,0.8423973362930077,0.13,0.20975491090433618
Random Forest,0.8423973362930077,0.14,0.20610311307985724
Random Forest,0.8423973362930077,0.15000000000000002,0.2026143790849673
Random Forest,0.8423973362930077,0.16,0.19299571680524058
Random Forest,0.8423973362930077,0.17,0.17919296232549242
Random Forest,0.8423973362930077,0.18000000000000002,0.17615176151761516
Random Forest,0.8423973362930077,0.19,0.17702005356326345
Random Forest,0.8423973362930077,0.2,0.17328042328042326
Random Forest,0.8423973362930077,0.21000000000000002,0.16850847230594063
Random Forest,0.8423973362930077,0.22,0.16510649843983177
Random Forest,0.8423973362930077,0.23,0.15962344533773104
Random Forest,0.8423973362930077,0.24000000000000002,0.15817321080478974
Random Forest,0.8423973362930077,0.25,0.14991181657848324
Random Forest,0.8423973362930077,0.26,0.14543114543114544
Random Forest,0.8423973362930077,0.27,0.13945060520402985
Random Forest,0.8423973362930077,0.28,0.13492063492063489
Random Forest,0.8423973362930077,0.29000000000000004,0.13674640435203814
Random Forest,0.8423973362930077,0.3,0.12925170068027209
Random Forest,0.8423973362930077,0.31,0.12713748945633002
Random Forest,0.8423973362930077,0.32,0.12760659819483347
Random Forest,0.8423973362930077,0.33,0.12579957356076757
Random Forest,0.8423973362930077,0.34,0.11880711880711878
Random Forest,0.8423973362930077,0.35000000000000003,0.11436711436711434
Random Forest,0.8423973362930077,0.36000000000000004,0.11871693121693119
Random Forest,0.8423973362930077,0.37,0.12060132695053329
Random Forest,0.8423973362930077,0.38,0.1164021164021164
Random Forest,0.8423973362930077,0.39,0.12221354844305662
Random Forest,0.8423973362930077,0.4,0.12169312169312167
Random Forest,0.8423973362930077,0.41000000000000003,0.1176576091830329
Random Forest,0.8423973362930077,0.42000000000000004,0.1158547710271848
Random Forest,0.8423973362930077,0.43,0.11185370834493642
Random Forest,0.8423973362930077,0.44,0.10657596371882086
Random Forest,0.8423973362930077,0.45,0.10245310245310245
Random Forest,0.8423973362930077,0.46,0.09817754262198707
Random Forest,0.8423973362930077,0.47000000000000003,0.10781671159029649
