Model,AUC,AP,Recall,Precision
SVM,0.8444783573806881,0.638010735900074,0.32075471698113206,0.7391304347826086
SVM,0.8444783573806881,0.638010735900074,0.3018867924528302,0.7272727272727273
SVM,0.8444783573806881,0.638010735900074,0.2830188679245283,0.7142857142857143
SVM,0.8444783573806881,0.638010735900074,0.2830188679245283,0.75
SVM,0.8444783573806881,0.638010735900074,0.2830188679245283,0.7894736842105263
SVM,0.8444783573806881,0.638010735900074,0.2641509433962264,0.7777777777777778
SVM,0.8444783573806881,0.638010735900074,0.24528301886792453,0.7647058823529411
SVM,0.8444783573806881,0.638010735900074,0.22641509433962265,0.75
SVM,0.8444783573806881,0.638010735900074,0.22641509433962265,0.8
SVM,0.8444783573806881,0.638010735900074,0.20754716981132076,0.7857142857142857
SVM,0.8444783573806881,0.638010735900074,0.18867924528301888,0.7692307692307693
SVM,0.8444783573806881,0.638010735900074,0.16981132075471697,0.75
SVM,0.8444783573806881,0.638010735900074,0.1509433962264151,0.7272727272727273
SVM,0.8444783573806881,0.638010735900074,0.1320754716981132,0.7
SVM,0.8444783573806881,0.638010735900074,0.11320754716981132,0.6666666666666666
SVM,0.8444783573806881,0.638010735900074,0.09433962264150944,0.625
SVM,0.8444783573806881,0.638010735900074,0.07547169811320754,0.5714285714285714
SVM,0.8444783573806881,0.638010735900074,0.05660377358490566,0.5
SVM,0.8444783573806881,0.638010735900074,0.03773584905660377,0.4
SVM,0.8444783573806881,0.638010735900074,0.03773584905660377,0.5
SVM,0.8444783573806881,0.638010735900074,0.03773584905660377,0.6666666666666666
SVM,0.8444783573806881,0.638010735900074,0.03773584905660377,1.0
SVM,0.8444783573806881,0.638010735900074,0.018867924528301886,1.0
SVM,0.8444783573806881,0.638010735900074,0.0,1.0
Random Forest Optimized,0.8442008879023308,0.6498620449293036,1.0,0.2804232804232804
Random Forest Optimized,0.8442008879023308,0.6498620449293036,1.0,0.28191489361702127
Random Forest Optimized,0.8442008879023308,0.6498620449293036,1.0,0.2849462365591398
Random Forest Optimized,0.8442008879023308,0.6498620449293036,1.0,0.2864864864864865
Random Forest Optimized,0.8442008879023308,0.6498620449293036,1.0,0.28804347826086957
Random Forest Optimized,0.8442008879023308,0.6498620449293036,1.0,0.2896174863387978
Random Forest Optimized,0.8442008879023308,0.6498620449293036,1.0,0.29608938547486036
Random Forest Optimized,0.8442008879023308,0.6498620449293036,1.0,0.3063583815028902
Random Forest Optimized,0.8442008879023308,0.6498620449293036,1.0,0.30994152046783624
Random Forest Optimized,0.8442008879023308,0.6498620449293036,1.0,0.3136094674556213
Random Forest Optimized,0.8442008879023308,0.6498620449293036,1.0,0.3231707317073171
Random Forest Optimized,0.8442008879023308,0.6498620449293036,1.0,0.33544303797468356
Random Forest Optimized,0.8442008879023308,0.6498620449293036,1.0,0.34415584415584416
Random Forest Optimized,0.8442008879023308,0.6498620449293036,1.0,0.3464052287581699
Random Forest Optimized,0.8442008879023308,0.6498620449293036,0.9811320754716981,0.3466666666666667
Random Forest Optimized,0.8442008879023308,0.6498620449293036,0.9811320754716981,0.348993288590604
Random Forest Optimized,0.8442008879023308,0.6498620449293036,0.9811320754716981,0.35135135135135137
Random Forest Optimized,0.8442008879023308,0.6498620449293036,0.9811320754716981,0.3561643835616438
Random Forest Optimized,0.8442008879023308,0.6498620449293036,0.9811320754716981,0.36619718309859156
Random Forest Optimized,0.8442008879023308,0.6498620449293036,0.9622641509433962,0.36428571428571427
Random Forest Optimized,0.8442008879023308,0.6498620449293036,0.9622641509433962,0.3695652173913043
Random Forest Optimized,0.8442008879023308,0.6498620449293036,0.9622641509433962,0.375
Random Forest Optimized,0.8442008879023308,0.6498620449293036,0.9622641509433962,0.3893129770992366
Random Forest Optimized,0.8442008879023308,0.6498620449293036,0.9622641509433962,0.3953488372093023
Random Forest Optimized,0.8442008879023308,0.6498620449293036,0.9433962264150944,0.3968253968253968
